Patient,N_Win,Dir
h10,2,data_down\per_channel\sane\h10_w2_ch19.pt
h10,3,data_down\per_channel\sane\h10_w3_ch1.pt
h10,3,data_down\per_channel\sane\h10_w3_ch2.pt
h10,3,data_down\per_channel\sane\h10_w3_ch3.pt
h10,3,data_down\per_channel\sane\h10_w3_ch4.pt
h10,3,data_down\per_channel\sane\h10_w3_ch5.pt
h10,3,data_down\per_channel\sane\h10_w3_ch6.pt
h10,3,data_down\per_channel\sane\h10_w3_ch7.pt
h10,3,data_down\per_channel\sane\h10_w3_ch8.pt
h10,3,data_down\per_channel\sane\h10_w3_ch9.pt
h10,3,data_down\per_channel\sane\h10_w3_ch10.pt
h10,3,data_down\per_channel\sane\h10_w3_ch11.pt
h10,3,data_down\per_channel\sane\h10_w3_ch12.pt
h10,3,data_down\per_channel\sane\h10_w3_ch13.pt
h10,3,data_down\per_channel\sane\h10_w3_ch14.pt
h10,3,data_down\per_channel\sane\h10_w3_ch15.pt
h10,3,data_down\per_channel\sane\h10_w3_ch16.pt
h10,3,data_down\per_channel\sane\h10_w3_ch17.pt
h10,3,data_down\per_channel\sane\h10_w3_ch18.pt
h10,3,data_down\per_channel\sane\h10_w3_ch19.pt
h10,4,data_down\per_channel\sane\h10_w4_ch1.pt
h10,4,data_down\per_channel\sane\h10_w4_ch2.pt
h10,4,data_down\per_channel\sane\h10_w4_ch3.pt
h10,4,data_down\per_channel\sane\h10_w4_ch4.pt
h10,4,data_down\per_channel\sane\h10_w4_ch5.pt
h10,4,data_down\per_channel\sane\h10_w4_ch6.pt
h10,4,data_down\per_channel\sane\h10_w4_ch7.pt
h10,4,data_down\per_channel\sane\h10_w4_ch8.pt
h10,4,data_down\per_channel\sane\h10_w4_ch9.pt
h10,4,data_down\per_channel\sane\h10_w4_ch10.pt
h10,4,data_down\per_channel\sane\h10_w4_ch11.pt
h10,4,data_down\per_channel\sane\h10_w4_ch12.pt
h10,4,data_down\per_channel\sane\h10_w4_ch13.pt
h10,4,data_down\per_channel\sane\h10_w4_ch14.pt
h10,4,data_down\per_channel\sane\h10_w4_ch15.pt
h10,4,data_down\per_channel\sane\h10_w4_ch16.pt
h10,4,data_down\per_channel\sane\h10_w4_ch17.pt
h10,4,data_down\per_channel\sane\h10_w4_ch18.pt
h10,4,data_down\per_channel\sane\h10_w4_ch19.pt
h10,5,data_down\per_channel\sane\h10_w5_ch1.pt
h10,5,data_down\per_channel\sane\h10_w5_ch2.pt
h10,5,data_down\per_channel\sane\h10_w5_ch3.pt
h10,5,data_down\per_channel\sane\h10_w5_ch4.pt
h10,5,data_down\per_channel\sane\h10_w5_ch5.pt
h10,5,data_down\per_channel\sane\h10_w5_ch6.pt
h10,5,data_down\per_channel\sane\h10_w5_ch7.pt
h10,5,data_down\per_channel\sane\h10_w5_ch8.pt
h10,5,data_down\per_channel\sane\h10_w5_ch9.pt
h10,5,data_down\per_channel\sane\h10_w5_ch10.pt
h10,5,data_down\per_channel\sane\h10_w5_ch11.pt
h10,5,data_down\per_channel\sane\h10_w5_ch12.pt
h10,5,data_down\per_channel\sane\h10_w5_ch13.pt
h10,5,data_down\per_channel\sane\h10_w5_ch14.pt
h10,5,data_down\per_channel\sane\h10_w5_ch15.pt
h10,5,data_down\per_channel\sane\h10_w5_ch16.pt
h10,5,data_down\per_channel\sane\h10_w5_ch17.pt
h10,5,data_down\per_channel\sane\h10_w5_ch18.pt
h10,5,data_down\per_channel\sane\h10_w5_ch19.pt
h10,6,data_down\per_channel\sane\h10_w6_ch1.pt
h10,6,data_down\per_channel\sane\h10_w6_ch2.pt
h10,6,data_down\per_channel\sane\h10_w6_ch3.pt
h10,6,data_down\per_channel\sane\h10_w6_ch4.pt
h10,6,data_down\per_channel\sane\h10_w6_ch5.pt
h10,6,data_down\per_channel\sane\h10_w6_ch6.pt
h10,6,data_down\per_channel\sane\h10_w6_ch7.pt
h10,6,data_down\per_channel\sane\h10_w6_ch8.pt
h10,6,data_down\per_channel\sane\h10_w6_ch9.pt
h10,6,data_down\per_channel\sane\h10_w6_ch10.pt
h10,6,data_down\per_channel\sane\h10_w6_ch11.pt
h10,6,data_down\per_channel\sane\h10_w6_ch12.pt
h10,6,data_down\per_channel\sane\h10_w6_ch13.pt
h10,6,data_down\per_channel\sane\h10_w6_ch14.pt
h10,6,data_down\per_channel\sane\h10_w6_ch15.pt
h10,6,data_down\per_channel\sane\h10_w6_ch16.pt
h10,6,data_down\per_channel\sane\h10_w6_ch17.pt
h10,6,data_down\per_channel\sane\h10_w6_ch18.pt
h10,6,data_down\per_channel\sane\h10_w6_ch19.pt
h10,7,data_down\per_channel\sane\h10_w7_ch1.pt
h10,7,data_down\per_channel\sane\h10_w7_ch2.pt
h10,7,data_down\per_channel\sane\h10_w7_ch3.pt
h10,7,data_down\per_channel\sane\h10_w7_ch4.pt
h10,7,data_down\per_channel\sane\h10_w7_ch5.pt
h10,7,data_down\per_channel\sane\h10_w7_ch6.pt
h10,7,data_down\per_channel\sane\h10_w7_ch7.pt
h10,7,data_down\per_channel\sane\h10_w7_ch8.pt
h10,7,data_down\per_channel\sane\h10_w7_ch9.pt
h10,7,data_down\per_channel\sane\h10_w7_ch10.pt
h10,7,data_down\per_channel\sane\h10_w7_ch11.pt
h10,7,data_down\per_channel\sane\h10_w7_ch12.pt
h10,7,data_down\per_channel\sane\h10_w7_ch13.pt
h10,7,data_down\per_channel\sane\h10_w7_ch14.pt
h10,7,data_down\per_channel\sane\h10_w7_ch15.pt
h10,7,data_down\per_channel\sane\h10_w7_ch16.pt
h10,7,data_down\per_channel\sane\h10_w7_ch17.pt
h10,7,data_down\per_channel\sane\h10_w7_ch18.pt
h10,7,data_down\per_channel\sane\h10_w7_ch19.pt
h10,8,data_down\per_channel\sane\h10_w8_ch1.pt
h10,8,data_down\per_channel\sane\h10_w8_ch2.pt
h10,8,data_down\per_channel\sane\h10_w8_ch3.pt
h10,8,data_down\per_channel\sane\h10_w8_ch4.pt
h10,8,data_down\per_channel\sane\h10_w8_ch5.pt
h10,8,data_down\per_channel\sane\h10_w8_ch6.pt
h10,8,data_down\per_channel\sane\h10_w8_ch7.pt
h10,8,data_down\per_channel\sane\h10_w8_ch8.pt
h10,8,data_down\per_channel\sane\h10_w8_ch9.pt
h10,8,data_down\per_channel\sane\h10_w8_ch10.pt
h10,8,data_down\per_channel\sane\h10_w8_ch11.pt
h10,8,data_down\per_channel\sane\h10_w8_ch12.pt
h10,8,data_down\per_channel\sane\h10_w8_ch13.pt
h10,8,data_down\per_channel\sane\h10_w8_ch14.pt
h10,8,data_down\per_channel\sane\h10_w8_ch15.pt
h10,8,data_down\per_channel\sane\h10_w8_ch16.pt
h10,8,data_down\per_channel\sane\h10_w8_ch17.pt
h10,8,data_down\per_channel\sane\h10_w8_ch18.pt
h10,8,data_down\per_channel\sane\h10_w8_ch19.pt
h10,9,data_down\per_channel\sane\h10_w9_ch1.pt
h10,9,data_down\per_channel\sane\h10_w9_ch2.pt
h10,9,data_down\per_channel\sane\h10_w9_ch3.pt
h10,9,data_down\per_channel\sane\h10_w9_ch4.pt
h10,9,data_down\per_channel\sane\h10_w9_ch5.pt
h10,9,data_down\per_channel\sane\h10_w9_ch6.pt
h10,9,data_down\per_channel\sane\h10_w9_ch7.pt
h10,9,data_down\per_channel\sane\h10_w9_ch8.pt
h10,9,data_down\per_channel\sane\h10_w9_ch9.pt
h10,9,data_down\per_channel\sane\h10_w9_ch10.pt
h10,9,data_down\per_channel\sane\h10_w9_ch11.pt
h10,9,data_down\per_channel\sane\h10_w9_ch12.pt
h10,9,data_down\per_channel\sane\h10_w9_ch13.pt
h10,9,data_down\per_channel\sane\h10_w9_ch14.pt
h10,9,data_down\per_channel\sane\h10_w9_ch15.pt
h10,9,data_down\per_channel\sane\h10_w9_ch16.pt
h10,9,data_down\per_channel\sane\h10_w9_ch17.pt
h10,9,data_down\per_channel\sane\h10_w9_ch18.pt
h10,9,data_down\per_channel\sane\h10_w9_ch19.pt
h10,10,data_down\per_channel\sane\h10_w10_ch1.pt
h10,10,data_down\per_channel\sane\h10_w10_ch2.pt
h10,10,data_down\per_channel\sane\h10_w10_ch3.pt
h10,10,data_down\per_channel\sane\h10_w10_ch4.pt
h10,10,data_down\per_channel\sane\h10_w10_ch5.pt
h10,10,data_down\per_channel\sane\h10_w10_ch6.pt
h10,10,data_down\per_channel\sane\h10_w10_ch7.pt
h10,10,data_down\per_channel\sane\h10_w10_ch8.pt
h10,10,data_down\per_channel\sane\h10_w10_ch9.pt
h10,10,data_down\per_channel\sane\h10_w10_ch10.pt
h10,10,data_down\per_channel\sane\h10_w10_ch11.pt
h10,10,data_down\per_channel\sane\h10_w10_ch12.pt
h10,10,data_down\per_channel\sane\h10_w10_ch13.pt
h10,10,data_down\per_channel\sane\h10_w10_ch14.pt
h10,10,data_down\per_channel\sane\h10_w10_ch15.pt
h10,10,data_down\per_channel\sane\h10_w10_ch16.pt
h10,10,data_down\per_channel\sane\h10_w10_ch17.pt
h10,10,data_down\per_channel\sane\h10_w10_ch18.pt
h10,10,data_down\per_channel\sane\h10_w10_ch19.pt
h10,11,data_down\per_channel\sane\h10_w11_ch1.pt
h10,11,data_down\per_channel\sane\h10_w11_ch2.pt
h10,11,data_down\per_channel\sane\h10_w11_ch3.pt
h10,11,data_down\per_channel\sane\h10_w11_ch4.pt
h10,11,data_down\per_channel\sane\h10_w11_ch5.pt
h10,11,data_down\per_channel\sane\h10_w11_ch6.pt
h10,11,data_down\per_channel\sane\h10_w11_ch7.pt
h10,11,data_down\per_channel\sane\h10_w11_ch8.pt
h10,11,data_down\per_channel\sane\h10_w11_ch9.pt
h10,11,data_down\per_channel\sane\h10_w11_ch10.pt
h10,11,data_down\per_channel\sane\h10_w11_ch11.pt
h10,11,data_down\per_channel\sane\h10_w11_ch12.pt
h10,11,data_down\per_channel\sane\h10_w11_ch13.pt
h10,11,data_down\per_channel\sane\h10_w11_ch14.pt
h10,11,data_down\per_channel\sane\h10_w11_ch15.pt
h10,11,data_down\per_channel\sane\h10_w11_ch16.pt
h10,11,data_down\per_channel\sane\h10_w11_ch17.pt
h10,11,data_down\per_channel\sane\h10_w11_ch18.pt
h10,11,data_down\per_channel\sane\h10_w11_ch19.pt
h10,12,data_down\per_channel\sane\h10_w12_ch1.pt
h10,12,data_down\per_channel\sane\h10_w12_ch2.pt
h10,12,data_down\per_channel\sane\h10_w12_ch3.pt
h10,12,data_down\per_channel\sane\h10_w12_ch4.pt
h10,12,data_down\per_channel\sane\h10_w12_ch5.pt
h10,12,data_down\per_channel\sane\h10_w12_ch6.pt
h10,12,data_down\per_channel\sane\h10_w12_ch7.pt
h10,12,data_down\per_channel\sane\h10_w12_ch8.pt
h10,12,data_down\per_channel\sane\h10_w12_ch9.pt
h10,12,data_down\per_channel\sane\h10_w12_ch10.pt
h10,12,data_down\per_channel\sane\h10_w12_ch11.pt
h10,12,data_down\per_channel\sane\h10_w12_ch12.pt
h10,12,data_down\per_channel\sane\h10_w12_ch13.pt
h10,12,data_down\per_channel\sane\h10_w12_ch14.pt
h10,12,data_down\per_channel\sane\h10_w12_ch15.pt
h10,12,data_down\per_channel\sane\h10_w12_ch16.pt
h10,12,data_down\per_channel\sane\h10_w12_ch17.pt
h10,12,data_down\per_channel\sane\h10_w12_ch18.pt
h10,12,data_down\per_channel\sane\h10_w12_ch19.pt
h10,13,data_down\per_channel\sane\h10_w13_ch1.pt
h10,13,data_down\per_channel\sane\h10_w13_ch2.pt
h10,13,data_down\per_channel\sane\h10_w13_ch3.pt
h10,13,data_down\per_channel\sane\h10_w13_ch4.pt
h10,13,data_down\per_channel\sane\h10_w13_ch5.pt
h10,13,data_down\per_channel\sane\h10_w13_ch6.pt
h10,13,data_down\per_channel\sane\h10_w13_ch7.pt
h10,13,data_down\per_channel\sane\h10_w13_ch8.pt
h10,13,data_down\per_channel\sane\h10_w13_ch9.pt
h10,13,data_down\per_channel\sane\h10_w13_ch10.pt
h10,13,data_down\per_channel\sane\h10_w13_ch11.pt
h10,13,data_down\per_channel\sane\h10_w13_ch12.pt
h10,13,data_down\per_channel\sane\h10_w13_ch13.pt
h10,13,data_down\per_channel\sane\h10_w13_ch14.pt
h10,13,data_down\per_channel\sane\h10_w13_ch15.pt
h10,13,data_down\per_channel\sane\h10_w13_ch16.pt
h10,13,data_down\per_channel\sane\h10_w13_ch17.pt
h10,13,data_down\per_channel\sane\h10_w13_ch18.pt
h10,13,data_down\per_channel\sane\h10_w13_ch19.pt
h10,14,data_down\per_channel\sane\h10_w14_ch1.pt
h10,14,data_down\per_channel\sane\h10_w14_ch2.pt
h10,14,data_down\per_channel\sane\h10_w14_ch3.pt
h10,14,data_down\per_channel\sane\h10_w14_ch4.pt
h10,14,data_down\per_channel\sane\h10_w14_ch5.pt
h10,14,data_down\per_channel\sane\h10_w14_ch6.pt
h10,14,data_down\per_channel\sane\h10_w14_ch7.pt
h10,14,data_down\per_channel\sane\h10_w14_ch8.pt
h10,14,data_down\per_channel\sane\h10_w14_ch9.pt
h10,14,data_down\per_channel\sane\h10_w14_ch10.pt
h10,14,data_down\per_channel\sane\h10_w14_ch11.pt
h10,14,data_down\per_channel\sane\h10_w14_ch12.pt
h10,14,data_down\per_channel\sane\h10_w14_ch13.pt
h10,14,data_down\per_channel\sane\h10_w14_ch14.pt
h10,14,data_down\per_channel\sane\h10_w14_ch15.pt
h10,14,data_down\per_channel\sane\h10_w14_ch16.pt
h10,14,data_down\per_channel\sane\h10_w14_ch17.pt
h10,14,data_down\per_channel\sane\h10_w14_ch18.pt
h10,14,data_down\per_channel\sane\h10_w14_ch19.pt
h10,15,data_down\per_channel\sane\h10_w15_ch1.pt
h10,15,data_down\per_channel\sane\h10_w15_ch2.pt
h10,15,data_down\per_channel\sane\h10_w15_ch3.pt
h10,15,data_down\per_channel\sane\h10_w15_ch4.pt
h10,15,data_down\per_channel\sane\h10_w15_ch5.pt
h10,15,data_down\per_channel\sane\h10_w15_ch6.pt
h10,15,data_down\per_channel\sane\h10_w15_ch7.pt
h10,15,data_down\per_channel\sane\h10_w15_ch8.pt
h10,15,data_down\per_channel\sane\h10_w15_ch9.pt
h10,15,data_down\per_channel\sane\h10_w15_ch10.pt
h10,15,data_down\per_channel\sane\h10_w15_ch11.pt
h10,15,data_down\per_channel\sane\h10_w15_ch12.pt
h10,15,data_down\per_channel\sane\h10_w15_ch13.pt
h10,15,data_down\per_channel\sane\h10_w15_ch14.pt
h10,15,data_down\per_channel\sane\h10_w15_ch15.pt
h10,15,data_down\per_channel\sane\h10_w15_ch16.pt
h10,15,data_down\per_channel\sane\h10_w15_ch17.pt
h10,15,data_down\per_channel\sane\h10_w15_ch18.pt
h10,15,data_down\per_channel\sane\h10_w15_ch19.pt
h10,16,data_down\per_channel\sane\h10_w16_ch1.pt
h10,16,data_down\per_channel\sane\h10_w16_ch2.pt
h10,16,data_down\per_channel\sane\h10_w16_ch3.pt
h10,16,data_down\per_channel\sane\h10_w16_ch4.pt
h10,16,data_down\per_channel\sane\h10_w16_ch5.pt
h10,16,data_down\per_channel\sane\h10_w16_ch6.pt
h10,16,data_down\per_channel\sane\h10_w16_ch7.pt
h10,16,data_down\per_channel\sane\h10_w16_ch8.pt
h10,16,data_down\per_channel\sane\h10_w16_ch9.pt
h10,16,data_down\per_channel\sane\h10_w16_ch10.pt
h10,16,data_down\per_channel\sane\h10_w16_ch11.pt
h10,16,data_down\per_channel\sane\h10_w16_ch12.pt
h10,16,data_down\per_channel\sane\h10_w16_ch13.pt
h10,16,data_down\per_channel\sane\h10_w16_ch14.pt
h10,16,data_down\per_channel\sane\h10_w16_ch15.pt
h10,16,data_down\per_channel\sane\h10_w16_ch16.pt
h10,16,data_down\per_channel\sane\h10_w16_ch17.pt
h10,16,data_down\per_channel\sane\h10_w16_ch18.pt
h10,16,data_down\per_channel\sane\h10_w16_ch19.pt
h10,17,data_down\per_channel\sane\h10_w17_ch1.pt
h10,17,data_down\per_channel\sane\h10_w17_ch2.pt
h10,17,data_down\per_channel\sane\h10_w17_ch3.pt
h10,17,data_down\per_channel\sane\h10_w17_ch4.pt
h10,17,data_down\per_channel\sane\h10_w17_ch5.pt
h10,17,data_down\per_channel\sane\h10_w17_ch6.pt
h10,17,data_down\per_channel\sane\h10_w17_ch7.pt
h10,17,data_down\per_channel\sane\h10_w17_ch8.pt
h10,17,data_down\per_channel\sane\h10_w17_ch9.pt
h10,17,data_down\per_channel\sane\h10_w17_ch10.pt
h10,17,data_down\per_channel\sane\h10_w17_ch11.pt
h10,17,data_down\per_channel\sane\h10_w17_ch12.pt
h10,17,data_down\per_channel\sane\h10_w17_ch13.pt
h10,17,data_down\per_channel\sane\h10_w17_ch14.pt
h10,17,data_down\per_channel\sane\h10_w17_ch15.pt
h10,17,data_down\per_channel\sane\h10_w17_ch16.pt
h10,17,data_down\per_channel\sane\h10_w17_ch17.pt
h10,17,data_down\per_channel\sane\h10_w17_ch18.pt
h10,17,data_down\per_channel\sane\h10_w17_ch19.pt
h10,18,data_down\per_channel\sane\h10_w18_ch1.pt
h10,18,data_down\per_channel\sane\h10_w18_ch2.pt
h10,18,data_down\per_channel\sane\h10_w18_ch3.pt
h10,18,data_down\per_channel\sane\h10_w18_ch4.pt
h10,18,data_down\per_channel\sane\h10_w18_ch5.pt
h10,18,data_down\per_channel\sane\h10_w18_ch6.pt
h10,18,data_down\per_channel\sane\h10_w18_ch7.pt
h10,18,data_down\per_channel\sane\h10_w18_ch8.pt
h10,18,data_down\per_channel\sane\h10_w18_ch9.pt
h10,18,data_down\per_channel\sane\h10_w18_ch10.pt
h10,18,data_down\per_channel\sane\h10_w18_ch11.pt
h10,18,data_down\per_channel\sane\h10_w18_ch12.pt
h10,18,data_down\per_channel\sane\h10_w18_ch13.pt
h10,18,data_down\per_channel\sane\h10_w18_ch14.pt
h10,18,data_down\per_channel\sane\h10_w18_ch15.pt
h10,18,data_down\per_channel\sane\h10_w18_ch16.pt
h10,18,data_down\per_channel\sane\h10_w18_ch17.pt
h10,18,data_down\per_channel\sane\h10_w18_ch18.pt
h10,18,data_down\per_channel\sane\h10_w18_ch19.pt
h10,19,data_down\per_channel\sane\h10_w19_ch1.pt
h10,19,data_down\per_channel\sane\h10_w19_ch2.pt
h10,19,data_down\per_channel\sane\h10_w19_ch3.pt
h10,19,data_down\per_channel\sane\h10_w19_ch4.pt
h10,19,data_down\per_channel\sane\h10_w19_ch5.pt
h10,19,data_down\per_channel\sane\h10_w19_ch6.pt
h10,19,data_down\per_channel\sane\h10_w19_ch7.pt
h10,19,data_down\per_channel\sane\h10_w19_ch8.pt
h10,19,data_down\per_channel\sane\h10_w19_ch9.pt
h10,19,data_down\per_channel\sane\h10_w19_ch10.pt
h10,19,data_down\per_channel\sane\h10_w19_ch11.pt
h10,19,data_down\per_channel\sane\h10_w19_ch12.pt
h10,19,data_down\per_channel\sane\h10_w19_ch13.pt
h10,19,data_down\per_channel\sane\h10_w19_ch14.pt
h10,19,data_down\per_channel\sane\h10_w19_ch15.pt
h10,19,data_down\per_channel\sane\h10_w19_ch16.pt
h10,19,data_down\per_channel\sane\h10_w19_ch17.pt
h10,19,data_down\per_channel\sane\h10_w19_ch18.pt
h10,19,data_down\per_channel\sane\h10_w19_ch19.pt
h10,20,data_down\per_channel\sane\h10_w20_ch1.pt
h10,20,data_down\per_channel\sane\h10_w20_ch2.pt
h10,20,data_down\per_channel\sane\h10_w20_ch3.pt
h10,20,data_down\per_channel\sane\h10_w20_ch4.pt
h10,20,data_down\per_channel\sane\h10_w20_ch5.pt
h10,20,data_down\per_channel\sane\h10_w20_ch6.pt
h10,20,data_down\per_channel\sane\h10_w20_ch7.pt
h10,20,data_down\per_channel\sane\h10_w20_ch8.pt
h10,20,data_down\per_channel\sane\h10_w20_ch9.pt
h10,20,data_down\per_channel\sane\h10_w20_ch10.pt
h10,20,data_down\per_channel\sane\h10_w20_ch11.pt
h10,20,data_down\per_channel\sane\h10_w20_ch12.pt
h10,20,data_down\per_channel\sane\h10_w20_ch13.pt
h10,20,data_down\per_channel\sane\h10_w20_ch14.pt
h10,20,data_down\per_channel\sane\h10_w20_ch15.pt
h10,20,data_down\per_channel\sane\h10_w20_ch16.pt
h10,20,data_down\per_channel\sane\h10_w20_ch17.pt
h10,20,data_down\per_channel\sane\h10_w20_ch18.pt
h10,20,data_down\per_channel\sane\h10_w20_ch19.pt
h10,21,data_down\per_channel\sane\h10_w21_ch1.pt
h10,21,data_down\per_channel\sane\h10_w21_ch2.pt
h10,21,data_down\per_channel\sane\h10_w21_ch3.pt
h10,21,data_down\per_channel\sane\h10_w21_ch4.pt
h10,21,data_down\per_channel\sane\h10_w21_ch5.pt
h10,21,data_down\per_channel\sane\h10_w21_ch6.pt
h10,21,data_down\per_channel\sane\h10_w21_ch7.pt
h10,21,data_down\per_channel\sane\h10_w21_ch8.pt
h10,21,data_down\per_channel\sane\h10_w21_ch9.pt
h10,21,data_down\per_channel\sane\h10_w21_ch10.pt
h10,21,data_down\per_channel\sane\h10_w21_ch11.pt
h10,21,data_down\per_channel\sane\h10_w21_ch12.pt
h10,21,data_down\per_channel\sane\h10_w21_ch13.pt
h10,21,data_down\per_channel\sane\h10_w21_ch14.pt
h10,21,data_down\per_channel\sane\h10_w21_ch15.pt
h10,21,data_down\per_channel\sane\h10_w21_ch16.pt
h10,21,data_down\per_channel\sane\h10_w21_ch17.pt
h10,21,data_down\per_channel\sane\h10_w21_ch18.pt
h10,21,data_down\per_channel\sane\h10_w21_ch19.pt
h10,22,data_down\per_channel\sane\h10_w22_ch1.pt
h10,22,data_down\per_channel\sane\h10_w22_ch2.pt
h10,22,data_down\per_channel\sane\h10_w22_ch3.pt
h10,22,data_down\per_channel\sane\h10_w22_ch4.pt
h10,22,data_down\per_channel\sane\h10_w22_ch5.pt
h10,22,data_down\per_channel\sane\h10_w22_ch6.pt
h10,22,data_down\per_channel\sane\h10_w22_ch7.pt
h10,22,data_down\per_channel\sane\h10_w22_ch8.pt
h10,22,data_down\per_channel\sane\h10_w22_ch9.pt
h10,22,data_down\per_channel\sane\h10_w22_ch10.pt
h10,22,data_down\per_channel\sane\h10_w22_ch11.pt
h10,22,data_down\per_channel\sane\h10_w22_ch12.pt
h10,22,data_down\per_channel\sane\h10_w22_ch13.pt
h10,22,data_down\per_channel\sane\h10_w22_ch14.pt
h10,22,data_down\per_channel\sane\h10_w22_ch15.pt
h10,22,data_down\per_channel\sane\h10_w22_ch16.pt
h10,22,data_down\per_channel\sane\h10_w22_ch17.pt
h10,22,data_down\per_channel\sane\h10_w22_ch18.pt
h10,22,data_down\per_channel\sane\h10_w22_ch19.pt
h10,23,data_down\per_channel\sane\h10_w23_ch1.pt
h10,23,data_down\per_channel\sane\h10_w23_ch2.pt
h10,23,data_down\per_channel\sane\h10_w23_ch3.pt
h10,23,data_down\per_channel\sane\h10_w23_ch4.pt
h10,23,data_down\per_channel\sane\h10_w23_ch5.pt
h10,23,data_down\per_channel\sane\h10_w23_ch6.pt
h10,23,data_down\per_channel\sane\h10_w23_ch7.pt
h10,23,data_down\per_channel\sane\h10_w23_ch8.pt
h10,23,data_down\per_channel\sane\h10_w23_ch9.pt
h10,23,data_down\per_channel\sane\h10_w23_ch10.pt
h10,23,data_down\per_channel\sane\h10_w23_ch11.pt
h10,23,data_down\per_channel\sane\h10_w23_ch12.pt
h10,23,data_down\per_channel\sane\h10_w23_ch13.pt
h10,23,data_down\per_channel\sane\h10_w23_ch14.pt
h10,23,data_down\per_channel\sane\h10_w23_ch15.pt
h10,23,data_down\per_channel\sane\h10_w23_ch16.pt
h10,23,data_down\per_channel\sane\h10_w23_ch17.pt
h10,23,data_down\per_channel\sane\h10_w23_ch18.pt
h10,23,data_down\per_channel\sane\h10_w23_ch19.pt
h10,24,data_down\per_channel\sane\h10_w24_ch1.pt
h10,24,data_down\per_channel\sane\h10_w24_ch2.pt
h10,24,data_down\per_channel\sane\h10_w24_ch3.pt
h10,24,data_down\per_channel\sane\h10_w24_ch4.pt
h10,24,data_down\per_channel\sane\h10_w24_ch5.pt
h10,24,data_down\per_channel\sane\h10_w24_ch6.pt
h10,24,data_down\per_channel\sane\h10_w24_ch7.pt
h10,24,data_down\per_channel\sane\h10_w24_ch8.pt
h10,24,data_down\per_channel\sane\h10_w24_ch9.pt
h10,24,data_down\per_channel\sane\h10_w24_ch10.pt
h10,24,data_down\per_channel\sane\h10_w24_ch11.pt
h10,24,data_down\per_channel\sane\h10_w24_ch12.pt
h10,24,data_down\per_channel\sane\h10_w24_ch13.pt
h10,24,data_down\per_channel\sane\h10_w24_ch14.pt
h10,24,data_down\per_channel\sane\h10_w24_ch15.pt
h10,24,data_down\per_channel\sane\h10_w24_ch16.pt
h10,24,data_down\per_channel\sane\h10_w24_ch17.pt
h10,24,data_down\per_channel\sane\h10_w24_ch18.pt
h10,24,data_down\per_channel\sane\h10_w24_ch19.pt
h10,25,data_down\per_channel\sane\h10_w25_ch1.pt
h10,25,data_down\per_channel\sane\h10_w25_ch2.pt
h10,25,data_down\per_channel\sane\h10_w25_ch3.pt
h10,25,data_down\per_channel\sane\h10_w25_ch4.pt
h10,25,data_down\per_channel\sane\h10_w25_ch5.pt
h10,25,data_down\per_channel\sane\h10_w25_ch6.pt
h10,25,data_down\per_channel\sane\h10_w25_ch7.pt
h10,25,data_down\per_channel\sane\h10_w25_ch8.pt
h10,25,data_down\per_channel\sane\h10_w25_ch9.pt
